,labeller,modelAppr,scalingAppr,selectionAppr,precision,recall,f1
108,KMeans_undersampling_3_bestScoreByClosestToMean,RFC,FT,FT,0.34991708126036486,0.9234135667396062,0.5075165363800361
109,KMeans_undersampling_3_bestScoreByClosestToMean,RFC,MMS,FT,0.3699421965317919,0.9803063457330415,0.5371702637889688
110,KMeans_undersampling_3_bestScoreByClosestToMean,RFC,SS,FT,0.2938388625592417,0.8140043763676149,0.43180499129425415
111,KMeans_undersampling_3_bestScoreByClosestToMean,LSVC,FT,FT,0.5372340425531915,0.4420131291028446,0.4849939975990396
112,KMeans_undersampling_3_bestScoreByClosestToMean,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
113,KMeans_undersampling_3_bestScoreByClosestToMean,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
114,KMeans_undersampling_3_bestScoreByClosestToMean,MLPC,FT,FT,0.4031936127744511,0.8840262582056893,0.5538039753255655
115,KMeans_undersampling_3_bestScoreByClosestToMean,MLPC,MMS,FT,0.3725,0.9781181619256017,0.5395292697646349
116,KMeans_undersampling_3_bestScoreByClosestToMean,MLPC,SS,FT,0.3015748031496063,0.838074398249453,0.44354371742906773
117,KMeans_undersampling_3_bestScoreByClosestToMedian,RFC,FT,FT,0.34761120263591433,0.9234135667396062,0.5050867743865949
118,KMeans_undersampling_3_bestScoreByClosestToMedian,RFC,MMS,FT,0.36933223413025557,0.9803063457330415,0.5365269461077845
119,KMeans_undersampling_3_bestScoreByClosestToMedian,RFC,SS,FT,0.2960062646828504,0.8271334792122538,0.4359861591695501
120,KMeans_undersampling_3_bestScoreByClosestToMedian,LSVC,FT,FT,0.341820987654321,0.9693654266958425,0.5054192812321734
121,KMeans_undersampling_3_bestScoreByClosestToMedian,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
122,KMeans_undersampling_3_bestScoreByClosestToMedian,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
123,KMeans_undersampling_3_bestScoreByClosestToMedian,MLPC,FT,FT,0.4027777777777778,0.888402625820569,0.5542662116040956
124,KMeans_undersampling_3_bestScoreByClosestToMedian,MLPC,MMS,FT,0.37405857740585774,0.9781181619256017,0.5411622276029056
125,KMeans_undersampling_3_bestScoreByClosestToMedian,MLPC,SS,FT,0.3056872037914692,0.8468271334792122,0.4492164828786999
126,KMedoids_undersampling_3_highestScoreIndex,RFC,FT,FT,0.34814814814814815,0.925601750547046,0.5059808612440192
127,KMedoids_undersampling_3_highestScoreIndex,RFC,MMS,FT,0.3696369636963696,0.9803063457330415,0.5368484122228879
128,KMedoids_undersampling_3_highestScoreIndex,RFC,SS,FT,0.29375,0.8227571115973742,0.43293033966609096
129,KMedoids_undersampling_3_highestScoreIndex,LSVC,FT,FT,0.3898781630740394,0.9102844638949672,0.5459317585301837
130,KMedoids_undersampling_3_highestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
131,KMedoids_undersampling_3_highestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
132,KMedoids_undersampling_3_highestScoreIndex,MLPC,FT,FT,0.40725806451612906,0.8840262582056893,0.5576259489302968
133,KMedoids_undersampling_3_highestScoreIndex,MLPC,MMS,FT,0.37531486146095716,0.9781181619256017,0.5424757281553398
134,KMedoids_undersampling_3_highestScoreIndex,MLPC,SS,FT,0.30126182965299686,0.8358862144420132,0.4428985507246377
135,KMedoids_undersampling_3_lowestScoreIndex,RFC,FT,FT,0.34789777411376754,0.9234135667396062,0.5053892215568863
136,KMedoids_undersampling_3_lowestScoreIndex,RFC,MMS,FT,0.36933223413025557,0.9803063457330415,0.5365269461077845
137,KMedoids_undersampling_3_lowestScoreIndex,RFC,SS,FT,0.2943485086342229,0.8205689277899344,0.4332755632582322
138,KMedoids_undersampling_3_lowestScoreIndex,LSVC,FT,FT,0.4543147208121827,0.7833698030634574,0.5751004016064257
139,KMedoids_undersampling_3_lowestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
140,KMedoids_undersampling_3_lowestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
141,KMedoids_undersampling_3_lowestScoreIndex,MLPC,FT,FT,0.39862879529872675,0.8905908096280087,0.5507442489851151
142,KMedoids_undersampling_3_lowestScoreIndex,MLPC,MMS,FT,0.3737458193979933,0.9781181619256017,0.5408348457350272
143,KMedoids_undersampling_3_lowestScoreIndex,MLPC,SS,FT,0.30376766091051804,0.8468271334792122,0.44714038128249567
144,KMedoids_undersampling_3_bestScoreByClosestToMean,RFC,FT,FT,0.34991708126036486,0.9234135667396062,0.5075165363800361
145,KMedoids_undersampling_3_bestScoreByClosestToMean,RFC,MMS,FT,0.3699421965317919,0.9803063457330415,0.5371702637889688
146,KMedoids_undersampling_3_bestScoreByClosestToMean,RFC,SS,FT,0.29472025216706066,0.8183807439824945,0.43337195828505215
147,KMedoids_undersampling_3_bestScoreByClosestToMean,LSVC,FT,FT,0.415625,0.8730853391684902,0.5631616090331687
148,KMedoids_undersampling_3_bestScoreByClosestToMean,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
149,KMedoids_undersampling_3_bestScoreByClosestToMean,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
150,KMedoids_undersampling_3_bestScoreByClosestToMean,MLPC,FT,FT,0.40913921360255046,0.8424507658643327,0.5507868383404864
151,KMedoids_undersampling_3_bestScoreByClosestToMean,MLPC,MMS,FT,0.37563025210084033,0.9781181619256017,0.5428051001821494
152,KMedoids_undersampling_3_bestScoreByClosestToMean,MLPC,SS,FT,0.3031496062992126,0.8424507658643327,0.445859872611465
153,KMedoids_undersampling_3_bestScoreByClosestToMedian,RFC,FT,FT,0.351575456053068,0.9277899343544858,0.5099218280216476
154,KMedoids_undersampling_3_bestScoreByClosestToMedian,RFC,MMS,FT,0.36902800658978585,0.9803063457330415,0.5362058647516457
155,KMedoids_undersampling_3_bestScoreByClosestToMedian,RFC,SS,FT,0.29615082482325217,0.824945295404814,0.4358381502890173
156,KMedoids_undersampling_3_bestScoreByClosestToMedian,LSVC,FT,FT,0.4807692307692308,0.7658643326039387,0.5907172995780591
157,KMedoids_undersampling_3_bestScoreByClosestToMedian,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
158,KMedoids_undersampling_3_bestScoreByClosestToMedian,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
159,KMedoids_undersampling_3_bestScoreByClosestToMedian,MLPC,FT,FT,0.41372141372141374,0.8708971553610503,0.5609584214235377
160,KMedoids_undersampling_3_bestScoreByClosestToMedian,MLPC,MMS,FT,0.3760539629005059,0.975929978118162,0.5429093122337189
161,KMedoids_undersampling_3_bestScoreByClosestToMedian,MLPC,SS,FT,0.30252764612954186,0.838074398249453,0.4445734184561811
162,KMeans_undersampling_4_highestScoreIndex,RFC,FT,FT,0.34847233691164325,0.9234135667396062,0.5059952038369304
163,KMeans_undersampling_4_highestScoreIndex,RFC,MMS,FT,0.3699421965317919,0.9803063457330415,0.5371702637889688
164,KMeans_undersampling_4_highestScoreIndex,RFC,SS,FT,0.29615082482325217,0.824945295404814,0.4358381502890173
165,KMeans_undersampling_4_highestScoreIndex,LSVC,FT,FT,0.5260223048327137,0.6192560175054704,0.5688442211055277
166,KMeans_undersampling_4_highestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
167,KMeans_undersampling_4_highestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
168,KMeans_undersampling_4_highestScoreIndex,MLPC,FT,FT,0.40537848605577687,0.8905908096280087,0.5571526351813826
169,KMeans_undersampling_4_highestScoreIndex,MLPC,MMS,FT,0.3766891891891892,0.975929978118162,0.5435709932967703
170,KMeans_undersampling_4_highestScoreIndex,MLPC,SS,FT,0.3033884948778566,0.8424507658643327,0.4461181923522596
171,KMeans_undersampling_4_lowestScoreIndex,RFC,FT,FT,0.34847233691164325,0.9234135667396062,0.5059952038369304
172,KMeans_undersampling_4_lowestScoreIndex,RFC,MMS,FT,0.3696369636963696,0.9803063457330415,0.5368484122228879
173,KMeans_undersampling_4_lowestScoreIndex,RFC,SS,FT,0.2964705882352941,0.8271334792122538,0.43648960739030024
174,KMeans_undersampling_4_lowestScoreIndex,LSVC,FT,FT,0.3522818254603683,0.962800875273523,0.5158264947245017
175,KMeans_undersampling_4_lowestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
176,KMeans_undersampling_4_lowestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
177,KMeans_undersampling_4_lowestScoreIndex,MLPC,FT,FT,0.4098360655737705,0.87527352297593,0.5582693649685974
178,KMeans_undersampling_4_lowestScoreIndex,MLPC,MMS,FT,0.375,0.9781181619256017,0.5421467556094604
179,KMeans_undersampling_4_lowestScoreIndex,MLPC,SS,FT,0.3054032889584965,0.8533916849015317,0.44982698961937717
180,KMeans_undersampling_4_bestScoreByClosestToMean,RFC,FT,FT,0.34983498349834985,0.9277899343544858,0.5080886758538047
181,KMeans_undersampling_4_bestScoreByClosestToMean,RFC,MMS,FT,0.36902800658978585,0.9803063457330415,0.5362058647516457
182,KMeans_undersampling_4_bestScoreByClosestToMean,RFC,SS,FT,0.2932806324110672,0.811816192560175,0.43089430894308944
183,KMeans_undersampling_4_bestScoreByClosestToMean,LSVC,FT,FT,0.4410377358490566,0.8183807439824945,0.5731800766283525
184,KMeans_undersampling_4_bestScoreByClosestToMean,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
