,0
AUXLOCOL,float64
AUXLOABN,float64
AUDLOABC,float64
AUXROTSP,float64
AUXROEXC,float64
AUXROIMC,float64
AUXROCOL,float64
AUXROABN,float64
AUDROABC,float64
AUXTMEPR,float64
AUXTPVR,float64
AUXTWIDR,float64
AUXTCOMR,float64
AUXTMEPL,float64
AUXTPVL,float64
AUXTWIDL,float64
AUXTCOML,float64
AUAEAR,float64
AUAMODE,float64
AUAFMANL,float64
AUAFMANR,float64
AUXU1K1R,float64
AUXU500R,float64
AUXU1K2R,float64
AUXU2KR,float64
AUXU3KR,float64
AUXU4KR,float64
AUXU6KR,float64
AUXU8KR,float64
AUXU1K1L,float64
AUXU500L,float64
AUXU1K2L,float64
AUXU2KL,float64
AUXU3KL,float64
AUXU4KL,float64
AUXU6KL,float64
AUXU8KL,float64
AUXR1K1R,float64
AUXR5CR,float64
